Name,Link,Categories,Pricing,Platforms,Tags,Description
Intel,https://www.intel.com/,CPU,Paid,Web,,"Intel's innovation in cloud computing, data center, Internet of Things, and PC solutions is powering the smart and connected digital world we live in."
AMD,https://www.amd.com/,"CPU, GPU",Paid,Web,,"AMD processors, graphics, technology, & software give you the competitive edge – from data center and business computing solutions to gaming. Find your solution!"
Nvidia,https://www.nvidia.com/,GPU,Paid,Web,,"NVIDIA, inventor of the GPU, which creates interactive graphics on laptops, workstations, mobile devices, notebooks, PCs, and more. We created the world’s largest gaming platform and the world’s fastest supercomputer. We are the brains of self-driving cars, intelligent machines, and IoT."
Microsoft,https://www.microsoft.com/,OS,Paid,Web,,At Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.
MSI,https://msi.com/,"GPU, Motherboard, Case",Paid,Web,,"MSI designs and creates Mainboard, AIO, Graphics card, Notebook, Netbook, Tablet PC, Consumer electronics, Communication, Barebone, Server, industrial computing, Multimedia, Clean Machine and Car Infotainment."
Asus,https://www.asus.com/us/,"GPU, Motherboard",Paid,Web,,"ASUS is a leading company driven by innovation and commitment to quality for products that include notebooks, netbooks, motherboards, graphics cards, displays, desktop PCs, servers, wireless solutions, mobile phones and networking devices. ASUS ranks among BusinessWeek’s InfoTech 100 for 12 consecutive years."
Gigabyte,https://www.gigabyte.com/,"GPU, Motherboard, PSU, RAM, Storage, Cooling, Case",Paid,Web,,"From personal computer hardware to business server solutions, renowned for quality and innovation, GIGABYTE is the very choice for PC users and business partners."
Corsair,https://www.corsair.com/,"PSU, RAM, Case, Storage, Cooling",Paid,Web,,Corsair is a leader in gaming gear ranging from cases to peripherals and components to streaming equipment. Visit now to shop or learn more.
Zotac,https://www.zotac.com/,"GPU, Motherboard",Paid,Web,,"ZOTAC - The original creators, pioneers, and manufacturer of Mini PCs and innovators of the fastest NVIDIA GeForce GTX Gaming Graphics Cards"
ASRock,https://www.asrock.com/index.us.asp,"GPU, Motherboard",Paid,Web,,MSI designs and creates top-tier gaming gear for gamers.
EVGA,https://www.evga.com/,"GPU, Motherboard, PSU, Cooling, Case",Paid,Web,,EVGA is one of the top NVIDIA authorized partners in channel sales throughout North America.
PNY,https://www.pny.com/,"GPU, RAM, Storage",Paid,Web,,"PNY Consumer Solutions provide customers with quality products that are reliable, affordable, and geared towards consumers’ needs. PNY products function with a wide variety of computer and digital devices to enhance your user experience."
SilverStone,https://www.silverstonetek.com/,"PSU, Cooling, Case",Paid,Web,,"Here at SilverStone Technology, we continue to pride ourselves in providing the highest level of standards in designing and manufacturing computer enclosures, power supplies, and accessories."
Noctua,https://noctua.at/,Cooling,Paid,Web,,"Designed in Austria, Noctua's premium cooling components are renowned for their superb quietness, exceptional performance and thoroughgoing quality."
be quiet!,https://www.bequiet.com/,"PSU, Cooling, Case",Paid,Web,,"be quiet! is a premium brand of power supplies, PC cases and cooling solutions for desktop PCs."
Coolermaster,https://www.coolermaster.com/,"PSU, Cooling, Case",Paid,Web,,"Dive into the creative building experience and see how your rig can be customized for gaming, modding, design, music, and more."
