Name,Link,Categories,Pricing,Platforms,Tags,Description
Gamestop,https://www.gamestop.com/,Retail,,,"PC, Console","Shop GameStop, the world's largest retail gaming destination for Xbox One X, PlayStation 4 and Nintendo Switch games, systems, consoles & accessories. Shop a wide selection of gamer-centric apparel, collectibles & more."
Best Buy,https://www.bestbuy.com/,Retail,,,"PC, Console","Shop Best Buy for electronics, computers, appliances, cell phones, video games & more new tech. In-store pickup & free 2-day shipping on thousands of items."
Target,https://www.target.com/,Retail,,,"PC, Console",Shop Target online and in-store for everything from groceries and essentials to clothing and electronics. Choose contactless pickup or delivery today.
Walmart,https://www.walmart.com/,Retail,,,"PC, Console",Shop Walmart.com for Every Day Low Prices. Free Shipping on Orders $35+ or Pickup In-Store and get a Pickup Discount. Open a Walmart Credit Card to Save Even More!
Newegg,https://www.newegg.com/,Online Retail,,,"PC, Console","Newegg offers customers an awesome experience shopping for computers, hardware, electronics, networking solutions, and more. Upgrade your shopping experience today!"
Ebay,https://www.ebay.com/,Online Retail,,,"PC, Console","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world&apos;s online marketplace. Top brands, low prices & free shipping on many items."
Amazon,https://www.amazon.com/,Online Retail,,,"PC, Console","Free delivery on millions of items with Prime. Low prices across earth's biggest selection of books, music, DVDs, electronics, computers, software, apparel & accessories, shoes, jewelry, tools & hardware, housewares, furniture, sporting goods, beauty & personal care, groceries & just about anything else."
Microsoft Store,https://www.microsoft.com/en-us/store/b/home,Digital Store,,,Console,At Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.
PlayStation Store,https://store.playstation.com/en-us/home/games,Digital Store,,,Console,Digital store for PlayStation games
Nintendo Eshop,https://www.nintendo.com/games/buy-digital,Digital Store,,,Console,"Browse and buy digital games on the Nintendo game store, and automatically download them to your Nintendo Switch, Nintendo 3DS system or Wii U console."
Steam,https://store.steampowered.com/,Digital Store,,,PC,"Steam is the ultimate destination for playing, discussing, and creating games."
GOG,https://www.gog.com/,Digital Store,,,PC,"Download the best classic and new games on Windows, Mac &amp; Linux. A vast selection of titles, DRM-free, with free goodies and 30-day money-back guarantee."
Epic Games Store,https://www.epicgames.com/store/en-US/,Digital Store,,,PC,"A curated digital storefront for PC and Mac, designed with both players and creators in mind."
Humble Bundle,https://www.humblebundle.com/,Digital Store,,,PC,Pay what you want. Support charity. Get awesome games.
GeForce NOW,https://www.nvidia.com/en-us/geforce-now/,Digital Store,,,Web,Instantly play the most demanding PC games and seamlessly play across your devices.
Fishing Cactus,http://www.fishingcactus.com/,Distribution,,,Mobile,"Fishing Cactus is a game development studios based in Belgium. Our mantra? Crafting smart video games with soul! Our team combines 30 years of experience in PC, consoles and mobile game development. We work on our own IPs and do work for hire."
Kartridge,https://www.kartridge.com/,Digital Store,,,PC,"This is Kartridge. A new PC Gaming Platform, from Kongregate."
GameJolt,https://gamejolt.com/,Digital Store,,,PC,"Discover, play, buy, and follow 100,000+ games!"
Itch,https://itch.io/,Digital Store,,,PC,"itch.io is a simple way to find, download and distribute indie games online. Whether you're a developer looking to upload your game or just someone looking for something new to play itch.io has you covered."
Stadia,https://stadia.google.com/,Digital Store,,,Web,"Access to Stadia is Free You don’t need special hardware or an invitation to play, just the screens and controllers you already have."
Uplay,https://uplay.ubisoft.com/,Digital Store,,,PC,"Connect with Ubisoft players, enjoy Rewards and discounts, compare your stats with your friends and much more in Ubisoft Connect."
Origin,https://www.origin.com/usa/en-us/store,Digital Store,,,PC,"Get great PC and Mac games on Origin. Play the latest RPGs, shooters, Sims games & more. Try before you buy demos and trials and score totally free games!"
Battle.net,https://www.blizzard.com/en-us/apps/battle.net/desktop,Digital Store,,,PC,"Download the Battle.net Desktop App, your gateway to all things Blizzard."
IndieDB,https://www.indiedb.com/,Digital Store,,,PC,"Indie DB the independent games site. News, downloads and media direct from the developers. Powered by ramen noodles."
Indiegala,https://www.indiegala.com/,Digital Store,,,PC,"Buy PC Games & Steam keys at Indiegala! Get awesome Steam bundles, best prices & exclusive game deals daily!"
Green Man Gaming,https://www.greenmangaming.com/,Digital Store,,,PC,"Buy games & game keys with Green Man Gaming - get the best prices, awesome bundles & exclusive game deals daily! Visit to explore Green Man Gaming now!"
Fanatical,https://www.fanatical.com/en/,Digital Store,,,PC,"Get massive savings on exclusive Steam bundles and great PC, Mac, and Linux games - updated daily. Join our community of over 2 million gamers - explore Fanatical now!"
Google Play,https://play.google.com/store?hl=en,Digital Store,,,Mobile,"Enjoy millions of the latest Android apps, games, music, movies, TV, books, magazines & more. Anytime, anywhere, across your devices."
Apple App Store,https://www.apple.com/ios/app-store/,Digital Store,,,Mobile,"The App Store gives people around the world a safe and trusted place to discover apps that meet our high standards for privacy, security, and content."
Apple Arcade,https://www.apple.com/apple-arcade/,Digital Store,,,Mobile,"Apple Arcade is a game subscription service unlike any other, with 100+ incredibly fun games designed with the world's most innovative developers."
Amazon App Store,https://developer.amazon.com/apps-and-games,Digital Store,,,Mobile,Reach millions of new customers. Publish your app in over 236 countries and territories while leveraging Amazon's network of shoppers.
Galaxy Store,https://www.samsung.com/us/apps/galaxy-store/,Digital Store,,,Mobile,"Galaxy Store is an apps store made for Samsung devices. Discover Samsung apps, exclusive gaming apps, and personalization tools just for Galaxy users."
Get Jar,https://www.getjar.com/,Digital Store,,,Mobile,The worlds biggest Open App Store for Android.
Facebook Games,https://www.facebook.com/games/,HTML 5,,,"PC, Web, Mobile","Facebook Instant Games, Web Games, and Gameroom"
Miniclip,https://www.miniclip.com/games/en/,HTML 5,,,Web,Miniclip is the world's largest independent online games site with over 600 games. The site is updated at least twice a week...so you can get your gaming fix whenever you want it.
Armor Games,https://armorgames.com/,HTML 5,,,Web,"Play free online games at Armor Games! We're the best online games website, featuring shooting games, puzzle games, strategy games, war games, and much more..."
Kongregate,https://www.kongregate.com/,HTML 5,,,Web,"Kongregate was founded in 2006 as a web gaming destination with the vision of creating an open platform for indie games to foster that growing community. "
Newgrounds,https://www.newgrounds.com/games,HTML 5,,,Web,"A community of artists, game developers, musicians, voice actors and writers who create and share some of the best stuff on the web!"
Addicting Games,https://www.addictinggames.com/,HTML 5,,,Web,"Play thousands of free online games: arcade games, puzzle games, funny games, sports games, shooting games, and more. New free games every day at AddictingGames."
GamePix,https://www.gamepix.com/,HTML 5,,,"Web, Mobile","We Are GamePix, the Best Free Online Games Are Here. Play Now, No Installation Required!"
Poki,https://poki.com/,HTML 5,,,Web,On Poki you can play free online games at school or at home. Poki has the best online game selection and offers the most fun experience to play alone or with friends. We support mobile and PC games.
Plug In Digital,https://plugindigital.com/,Distribution,,,,"Plug In Digital is one of the largest independent video game distributors. We help studios &amp; publishers distributing their games on PC, consoles and mobile. Porting, distribution, manufacturing services major markets, including Brazil, China, and Russia."
Alliance Entertainment,https://www.aent.com/selection/video-games,Distribution,,,,Alliance is the only Worldwide One-Stop that provides the services of consolidating all the products you need for your entertainment business
Click Entertainment,http://www.click-entertainment.com/,Distribution,,,,"Click Entertainment is an international wholesaler and distributor of video games, consoles and accessories."
UCC Distributing,https://www.uccdist.com/,Distribution,,,,UCC Distributing Inc. is a California Toy Company that started in 1991 as a baseball card distributor. Since then UCC has grown to be a well known toy supplier in the toy world. UCC specializes in bringing our customers the hottest trends and licenses on the market place.
iam8bit,https://www.iam8bit.com/collections/all,Online Retail,,,Web,"Shop for limited edition video game soundtracks on vinyl, collector's editions, art, t-shirts, plush, and more. Exclusively from iam8bit's online store."
Limited Run Games,https://limitedrungames.com/,Online Retail,,,,"Limited Run Games is a publisher and distributor of strictly limited PlayStation 4, Vita, and Nintendo Switch games. Physical Copies and Merchandise of Indie Games."
Signature Edition Games,https://signatureeditiongames.com/,Online Retail,,,,"Signature Edition Games brings physical indie games for collectors. Signature Editions contain a region-free version of the game plus a host of additional content that is super collectable. Signature Edition offers premium packaging, fast and affordable shipping, friendly and efficient customer service."
1st Press Games,https://firstpressgames.com/,Online Retail,,,,"Physical high quality releases of video games and soundtracks. For Playstation 4, Nintendo Switch and PC."
Playism,https://playism.com/,Online Retail,,,Web,"Playism specializes in localizing and publishing indie games from all over the globe, bringing the best indie games that Japan, America and the rest of the world have to offer."
GamersGate,https://www.gamersgate.com/,Online Retail,,,Web,"GamersGate is the leading digital distribution platform for PC and Mac games creating easily accessible gaming experiences for gamers worldwide – anytime, anywhere."
Slitherine,https://www.slitherine.com/,Online Retail,,,Web,The Slitherine Group is the world’s leading producer and publisher of digital wargames and strategy games.
Muve.pl,https://muve.pl/,Online Retail,,,Web,"Polish. Muve.pl to sklep z grami video, w którym znajdziesz szeroki wybór gier na PC, PS4, Xbox One, Nintendo Switch, pocz?wszy od najnowszych hitów po klasyk?. Najni?sze ceny i darmowa dostawa!"
WinGameStore,https://www.wingamestore.com/,Online Retail,,,Web,A store dedicated to Windows and Linux games. Over a thousand games to choose from! Instantly download and play most games for sale.
Direct2Drive,https://www.direct2drive.com/,Online Retail,,,Web,"Buy and download the latest PC games at the new Direct2Drive Digital site. Choose from over 2,500 PC and Mac games to buy and play."
