Name,Link,Categories,Pricing,Platforms,Tags,Description
G Suite,https://gsuite.google.com/,"Office Software, Collaboration, Cloud Storage, Email","Free, Subscription","Web, iOS, Android",,"An integrated suite of secure, cloud-native collaboration and productivity apps powered by Google AI. Includes Gmail, Docs, Drive, Calendar, Meet and more."
Microsoft 365 | Enterprise,https://www.microsoft.com/en-us/microsoft-365/enterprise,"Office Software, Collaboration, Cloud Storage, Email","Free, Trial, Subscription, Paid","Windows, Mac, iOS, Android, Web",,Microsoft 365 uses the power of the cloud to help people and organizations be more productive.
Salesforce,https://www.salesforce.com/,HR,Subscription,Web,,"Personalize every experience along the customer journey with the Customer 360. Unify marketing, sales, service, commerce, and IT on the world's #1 CRM."
Workday,https://www.workday.com/,HR,Subscription,Web,,"The world is evolving fast. With one cloud system from Workday, you can build your business to adapt to what’s next. Learn more."
HubSpot,https://www.hubspot.com/,Marketing,"Free, Subscription",Web,,"HubSpot offers a full platform of marketing, sales, customer service, and CRM software — plus the methodology, resources, and support — to help businesses grow better. Get started with free tools, and upgrade as you grow."
Hootsuite,https://www.hootsuite.com/,Marketing,Subscription,Web,Social Media,"Enhance your social media management with Hootsuite, the leading social media dashboard. Manage multiple networks and profiles and measure your campaign results."
StoreMaven,https://www.storemaven.com/,Marketing,Paid,Web,,"Use Storemaven to A/B test mobile app icons, screenshots, videos, and descriptions on the App Store and Google Play. Trusted by 80% of top mobile brands."
Mailchimp,https://mailchimp.com/,"Email, Marketing","Free, Subscription",Web,,Email Hosting and Marketing Services
Zoho,https://www.zoho.com/,Email,"Free, Subscription",Web,,Run your entire business with Zoho's suite of online productivity tools and SaaS applications. Over 50 million users trust us worldwide.Try our Forever Free Plan!
Yandex,https://connect.yandex.com/,Email,"Free, Subscription",Web,,Set of communication and collaboration tools on your domain. A suite of tools for a business.
Sendy,https://sendy.co/,"Email, Marketing",Paid,Linux,,A self hosted newsletter application that lets you send trackable emails via Amazon Simple Email Service (SES) at 100x cheaper than other hosted solutions.
Mighty Recruiter,https://www.mightyrecruiter.com/,Recruitment,Free,Web,,"MightyRecruiter is an intuitive and modern, recruiting solution designed for companies as small as one employee, or as large as hundreds."
Tipalti,https://tipalti.com/,Billing and Invoice Solution,Subscription,Web,,"The only end-to-end accounts payable software to automate the entire supplier payments operation, making global mass B2B payments frictionless & efficient."
Keymailer,https://www.keymailer.co/,Early Build Distribution,Free,Web,,"Keymailer is an online resource for content creators, game publishers, developers and PR agencies to connect, send and receive game keys for review, and highlight the great content generated from those keys."
distribute(),https://dodistribute.com/,Early Build Distribution,Free,Web,,distribute() (pronounced 'do distribute') is a new & better way to keep track of your press lists and (p)review build distribution.
Monetize Generator,https://vlambeer.com/toolkit/monetize-generator/,Business,Free,Web,,Monetization Permission Form for content creators
presskit(),http://dopresskit.com/,Public Relations,Free,"Windows, Mac, Linux",Press Page Tool,"presskit() (pronounced 'do presskit') is the completely free solution to fast, simple & beautiful press kits. Requires a server that can host PHP"
Stonemaier Games Kickstarter Lessons,https://stonemaiergames.com/kickstarter/,Marketing,"Free, Paid",Web,,Chronological List of All Kickstarter Lessons A step-by-step guide to steer you throughout the entire crowdfunding process.
Indie Game Developer's Marketing Checklist,https://gamedevelopment.tutsplus.com/articles/an-indie-game-developers-marketing-checklist-including-portable-formats--gamedev-7560,Marketing,Free,Web,,"There's no worse feeling than creating a game you're proud of, only to watch it drift off into obscurity. Unfortunately, it's no longer enough to only create great content. In order to differentiate yourself from the masses, you must concoct a structured, coordinated marketing plan."
Slide Bean Pitch Deck,https://slidebean.com/pitch-deck-template/,Pitch Deck,Free,Web,,"Over 100 pitch deck template and pitch deck examples options for startups and small businesses, including investor deck templates from successful startups, such as the Airbnb Pitch deck and the Sequoia Capital investor deck."
Attach.io Startup Pitch Deck,https://attach.io/startup-pitch-decks/,Pitch Deck,Free,Web,,A collection of real fundraising presentations from famous startups. Find out how these companies designed pitch decks that raised over $400 million in total.
