Name,Link,Categories,Pricing,Platforms,Tags,Description
GIT,https://git-scm.com/,VCS,Free,"Windows, Mac, Linux",Distributed,Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.
Perforce Helix Core,https://www.perforce.com/products/helix-core,VCS,"Free, Subscription","Windows, Mac, Linux",Centralized,"Perforce version control software — Helix Core — tracks and manages changes to your source code, digital assets, and large binary files. But it can do so much more than source control. Find out why Helix Core is the right VCS for your team. Free for up to 5 users."
Plastic SCM,https://www.plasticscm.com/,VCS,"Free, Subscription","Windows, Mac, Linux","Centralized, Distributed","A version control that will help you develop new features in parallel, go distributed, merge in time, and never break a build again."
Mercurial,https://www.mercurial-scm.org/,VCS,Free,"Windows, Mac, Linux",Distributed,"Mercurial is a free, distributed source control management tool. It efficiently handles projects of any size and offers an easy and intuitive interface."
SVN,https://subversion.apache.org/,VCS,Free,"Windows, Mac, Linux",Centralized,"Subversion exists to be universally recognized and adopted as an open-source, centralized version control system characterized by its reliability as a safe haven for valuable data; the simplicity of its model and usage; and its ability to support the needs of a wide variety of users and projects, from individuals to large-scale enterprise operations."
Team Foundation Version Control,https://docs.microsoft.com/en-us/azure/devops/repos/tfvc/overview?view=vsts,VCS,Subscription,Windows,Centralized,Use Team Foundation Version Control
Unity Teams,https://unity.com/products/unity-teams,"VCS, VCS Hosting","Free, Subscription","Windows, Mac, Linux",Distributed,"Create together, faster. Make it easy to save, share and sync your Unity projects with anyone."
GitHub,https://github.com/,VCS Hosting,"Free, Subscription",Web,Git,"GitHub is where over 50 million developers shape the future of software, together. Contribute to the open source community, manage your Git repositories, review code like a pro, track bugs and feat..."
BitBucket,https://bitbucket.org/,VCS Hosting,"Free, Subscription",Web,Git,"Collaborate on code with inline comments and pull requests. Manage and share your Git repositories to build and ship software, as a team."
GitLab,https://gitlab.com/,VCS Hosting,"Free, Subscription",Web,Git,"From project planning and source code management to CI/CD and monitoring, GitLab is a complete DevOps platform, delivered as a single application. Only GitLab enables Concurrent DevOps to make the software lifecycle 200% faster.”"
Microsoft Azure Devops,https://azure.microsoft.com/en-us/services/devops/,VCS Hosting,"Free, Subscription",Web,"Git, TFVC","Plan smarter, collaborate better, and ship faster with Azure DevOps Services, formerly known as Visual Studio Team Services. Get agile tools, CI/CD, and more."
Assembla,https://www.assembla.com/home,VCS Hosting,"Trial, Subscription",Web,"Perforce, Git, SVN","Secure Git, software development and source code management in the cloud. Assembla is the only multi-repository platform in the world offering Git, Perforce and NextGenSVN in the cloud."
Perforce HelixTeamHub,https://www.perforce.com/products/helix-teamhub,VCS Hosting,"Free, Subscription",Web,"Git, SVN, Mercurial","Helix TeamHub can host your source code repository, whether it’s Mercurial, Git, or SVN. You can add multiple repositories in one project — or create a separate project for each repository."
Plastic Cloud,https://www.plasticscm.com/plasticscm-cloud-edition,VCS Hosting,"Trial, Subscription",Web,"Plastic, Git",Plastic Cloud Edition is the sum of the Plastic SCM software plus a Plastic Cloud server and storage.
RiouxSVN,https://riouxsvn.com/,VCS Hosting,"Free, Subscription",Web,SVN,RiouxSVN is a free Subversion Hosting website. It allows developers to store source code and collaborate with their team through Subversion version control.
Gogs,https://gogs.io/,VCS GUI,Free,"Windows, Mac, Linux",Git,Gogs is a painless self-hosted Git service.
Sourcetree,https://www.sourcetreeapp.com/,VCS GUI,Free,"Windows, Mac","Git, Mercurial",A Git GUI that offers a visual representation of your repositories. Sourcetree is a free Git client for Windows and Mac.
Github Desktop,https://desktop.github.com/,VCS GUI,Free,"Windows, Mac",Git,Simple collaboration from your desktop
GitKraken,https://www.gitkraken.com/,VCS GUI,"Free, Subscription","Windows, Mac, Linux",Git,"Unleash GitKraken, the free Git GUI for Windows, Mac & Linux! This intuitive Git GUI simplifies and streamlines Git processes."
Git Tower,https://www.git-tower.com/,VCS GUI,"Trial, Subscription","Windows, Mac",Git,"Over 100,000 developers and designers are more productive with Tower - the most powerful Git client for Mac and Windows."
Perforce Helix Visual Client,https://www.perforce.com/products/helix-core-apps/helix-visual-client-p4v,VCS GUI,"Free, Subscription","Windows, Mac, Linux",Perforce,Visual Client included with Helix Core
Plastic SCM GUI,https://www.plasticscm.com/documentation/gui/plastic-scm-version-control-gui-guide,VCS GUI,"Free, Subscription","Windows, Mac, Linux",Plastic,GUI Client included with Plastic SCM
TortoiseSVN,https://tortoisesvn.net/,VCS GUI,Free,Windows,SVN,The coolest interface to (Sub)version control
VisualSVN,https://www.visualsvn.com/,VCS GUI,Free,"Windows, Mac",SVN,VisualSVN makes your life easier with a reliable plug-in that integrates Subversion seamlessly with Visual Studio.
SmartSVN,https://www.smartsvn.com/,VCS GUI,Free,Mac,SVN,"The popular Subversion client for macOS, Windows and Linux."
RabbitVCS,http://rabbitvcs.org/,VCS GUI,Free,Linux,SVN,RabbitVCS is a set of graphical tools written to provide simple and straightforward access to the version control systems you use. We provide multiple clients and extensions designed to give you a uniform experience no matter what development tools you use.
TortoiseHg,https://www.mercurial-scm.org/wiki/TortoiseHg,VCS GUI,Free,"Windows, Linux",Mercurial,"TortoiseHg is a set of graphical tools and a shell extension for Mercurial. "
EasyMercurial,https://easyhg.org/,VCS GUI,Free,"Windows, Mac, Linux",Mercurial,"EasyMercurial is a simple user interface for the Mercurial distributed version control system. It's free, open source, and cross-platform."
