Name,Link,Categories,Pricing,Platforms,Tags,Descriptions
IGN,https://www.ign.com/,News Outlet,,,,"IGN is your #1 destination for all video game news, expert reviews, and walkthroughs."
Gamespot,https://www.gamespot.com/,News Outlet,,,,"GameSpot is the world's leading source for PS4, Xbox One, PS3, Xbox 360, Wii U, PS Vita, Wii, PC, 3DS, and DS video game news, reviews, previews, trailers, walkthroughs, and more."
Gameinformer,https://www.gameinformer.com/,"News Outlet, Magazine",,,,"Game Informer is your source for the latest in video game news, reviews, previews, podcasts, and features."
Kotaku,https://kotaku.com/,News Outlet,,,,"Gaming Reviews, News, Tips and More."
Polygon,https://www.polygon.com/,News Outlet,,,,"Polygon is a gaming website in partnership with Vox Media. Our culture focused site covers games, their creators, the fans, trending stories and entertainment news."
Rock Paper Shotgun,https://www.rockpapershotgun.com/,News Outlet,,,,"Rock, Paper, Shotgun - PC gaming news, previews, reviews, opinion"
gameindustrybiz,https://www.gamesindustry.biz/,News Outlet,,,,The resource for people who make and sell games. GamesIndustry.biz is the market leading website and community for news and information about the global video games industry.
GamesRadar,https://www.gamesradar.com/,"News Outlet, Magazine",,,,"GamesRadar+ takes you closer to the games, movies and TV you love."
escapist,https://www.escapistmagazine.com/v2/,News Outlet,,,,"The Escapist is an outlet dedicated to providing our readers and viewers with smart coverage of video games, movies, tv shows and everything geek culture."
Verge,https://www.theverge.com/,News Outlet,,,,"The Verge was founded in 2011 in partnership with Vox Media, and covers the intersection of technology, science, art, and culture. Its mission is to offer in-depth reporting and long-form feature stories, breaking news coverage, product information, and community content in a unified and cohesive manner. The site is powered by Vox Media&#39;s Chorus platform, a modern media stack built for web-native news in the 21st century."
Engadget,https://www.engadget.com/,News Outlet,,,,"Engadget is the original home for technology news and reviews. Since its founding in 2004, we've grown from an exhaustive source for consumer tech news to a global multimedia organization covering the intersection of technology, gaming and entertainment."
Gamasutra,https://www.gamasutra.com/,News Outlet,,,,"Daily news, interviews, features, and developer blogs about the Art & Business of Making Games."
Indie Database,https://www.indiedb.com/,News Outlet,,,,"Indie DB the independent games site. News, downloads and media direct from the developers. Powered by ramen noodles."
