Name,Link,Categories,PRicing,Platforms,Tags,Description
Unreal Engine Marketplace,https://www.unrealengine.com/marketplace/store,All,"Free, Paid",,,Visit the Marketplace for free and paid assets for your next project.
Unity Asset Store,https://assetstore.unity.com/,All,"Free, Paid",,,"Discover the best assets for game making. Choose from our massive catalog of 2D, 3D models, SDKs, templates, and tools to speed up your game development process."
Itch.io Game Assets,https://itch.io/game-assets,All,"Free, Paid",,,"Find game assets like [SRW] Adventure edition, Pixel Planet Generator, Shampoo | GameMaker GUI framework, [SRW] Super Retro World, KR Spirit of Asia Tileset for RPGs on itch.io, the indie game hosting marketplace."
Cry Engine Marketplace,https://www.cryengine.com/marketplace,All,"Free, Paid",,,The complete solution for next generation game development by Crytek.
YoYoGames Marketplace,https://marketplace.yoyogames.com/,All,"Free, Paid",,,Get assets for making games in Game Maker Studio 2.
ArtStation Marketplace,https://www.artstation.com/marketplace/game-dev,All,"Free, Paid","","","Buy and sell Game Assets, Resources, 3D Models, Brushes, Tutorials, Artworks, Photos, Books and more on ArtStation."
Gumroad Marketplace,https://gumroad.com/discover?category=everything,All,"Free, Paid","","","Explore Gumroad. Find the best things to read, watch, make, and more."
Reallusion Marketplace,https://marketplace.reallusion.com/,"3D, 2D",Paid,,,"Reallusion Marketplace is a complete C2C platform which is designed to provide ""try before you buy"" and ""item-based purchase"" content live access experience."
Kenney Game Assets,https://kenney.nl/assets,"2D, 3D, SFX, UI, Isometric",Free,,,"We've created over 40,000 images, audio files and 3D models for you to use in your projects. Thanks to our public domain license you're even allowed to use them in commercial projects!"
Reiner's Tilesets,http://www.reinerstilesets.de/,"2D, Isometric, 3D, Texture, SFX",Free,,Attribution Required,"Well, I'm a hobby game developer. And when i started to make games some years ago, I couldn't find the graphics i was looking for. So i started to make my own graphics. I make games, and I share its graphics with the world then. For free. "
Open Game Art,https://opengameart.org/,"2D, 3D, Texture, Music, SFX",Free,,Attribution Required,"Free, legal art for open source and indie video games."
Mobile game Graphics,https://mobilegamegraphics.com/,"2D, Isometric","Free, Paid",,,"Get high quality game sprites, mobile game graphics, pixel art, 8-bit, characters and themes for game development. We offer free game assets and sprite sheet."
Game Dev Market,https://www.gamedevmarket.net/,"2D, 3D, Music, SFX, UI","Free, Paid",,,"GameDev Market is a marketplace for high quality, affordable 2D, 3D, GUI & Audio game assets, handcrafted by talented creators around the world."
Brackeys Dev Assets,https://devassets.com/,"2D, 3D, Texture",Free,,,"High-quality 3D models for game developers! Dev Assets allows you to pay what you want for full-featured asset packs. Textured, rigged, animated & optimized."
Game Developer Studio,https://www.gamedeveloperstudio.com/index.php,2D,"Free, Paid",,,High quality game assets including audio clips and game sprites
Placeholder,https://placeholder.com/,UI,Free,,,Placeholder.com generates custom placeholder images on the fly.
Glitch the Game Assets,https://www.glitchthegame.com/public-domain-game-art/,2D,Free,,,"The entire library of art assets from the game, has been made freely available, dedicated to the public domain. Code from the game client is included to help developers work with the assets."
Game Art 2D,https://www.gameart2d.com/,2D,"Free, Paid",,,"Royalty free 2D game assets store. Contains more than 100 items, from platformer & top down tileset, side scrolling & top down character spritesheet, game GUI, space shooter asset, game background, and many more."
Super Game Assets,http://www.supergameasset.com/,"UI, Icons, Isometric","Free, Paid",,,"Super Game Asset provide time saving 2D game resources. We sell game sprite, game icons, isometric sprites, buildings, props, game portraits and game maps."
Graphic Burger,https://graphicburger.com/,UI,Free,,,Tasty design resources made with care for each pixel. Free for both personal & commercial use. Have a bite!
7soul1 (Deviant Art),https://www.deviantart.com/7soul1/gallery/44815788/free-stuff,"2D, UI",Free,,,Check out 7Soul1's art on DeviantArt. Browse the user profile and get inspired.
Game-icons,https://game-icons.net/,"UI, Icons",Free,,Attribution Required,An ever growing collection of free game icons. Dozen new symbols are added weekly and organized in intuitive categories to offer both a comfy browsing and let room for serendipity.
Open Clip Art,https://openclipart.org/,2D,Free,,,"Founded in 2004, Open Clipart is an online media collection of more than 160 000 vectorial graphics, entirely in the public domain."
Sketchfab,https://sketchfab.com/store?ref=header,3D,"Free, Paid",,,"High-quality 3D models for VFX, game development, VR/AR, architecture, and animation. Inspect every mesh and texture before you buy."
Ludic Art,http://www.ludicarts.com/,2D,"Free, Paid",,,LudicArts is a store for game developers who can buy here royalty free high quality assets for their game projects.
Renderosity,https://www.renderosity.com/,"3D, Texture","Free, Paid",,,Renderosity boasts one of the largest and most diverse MarketPlaces on the web for digital content. It's here you can buy or sell 2D and 3D content with other CG artists from around the world.
Craft Pix,https://craftpix.net/,"2D, UI","Free, Paid",,,"Craftpix offers high-quality 2D game assets for your project. Here you will find game icons, sprites, tilesets, gui, characters and more. All graphics are at a very affordable price. There is also a section with free game assets."
Timofey Draws,https://gumroad.com/timofeydraws,"2D, UI",Free,,,Timofeydraws 2d freelance artist. Open for comissions. Offering some free 2D assets.
Quaternius,http://quaternius.com/assets.html,3D,Free,,,Low poly 3D assets available for free.
Pixel Game Art,http://pixelgameart.org/web/,2D,"Free, Paid",,Attribution Required,My name is Luis Zuno a Game Designer & Pixel Artist. I enjoy making Pixel Art for Game Development. I ‘m sharing my work to other Game Developers in this place.
Clara.io,https://clara.io/library,3D,Free,,,Instructions on how to enable (activate) JavaScript in web browser and why.
3D Art,http://3drt.com/store/,3D,"Free, Paid",,,"Buy lowpoly 3d models for game developers: characters, vehicles, environments. Fantasy, sci-fi and realistic real-time models for indie developers."
Daz3D Shop,https://www.daz3d.com/shop/,3D,Paid,,,"Daz 3D, 3D Models, 3D Animation, 3D Software"
Carnegie-Mellon Motion Capture Database,http://mocap.cs.cmu.edu,3D,Free,,,Search through the CMU Graphics Lab online motion capture database to find free mocap data for your research needs.
Motion Capture Data,http://www.motioncapturedata.com/,3D,Free,,,"Free Motion Capture Data. This mocap blog offers free motion capture files and data in various formats including bvh, bip, fbx. Also download poser and iclone contents."
Mixamo,https://www.mixamo.com/#/,3D,Free,,,"Empowering creativity with animated 3D characters. Bring your projects to life with 3D characters, skeletal rigs, and animations, ready for use in film, games, interactive experiences and illustration."
Quixel Megascan,https://quixel.com/,"3D, Texture","Free, Subscription",,,"Discover a world of unbounded creativity. Explore a massive asset library, and Quixel’s powerful tools, plus free in-depth tutorials and resources."
TurboSquid,https://www.turbosquid.com/,3D,"Free, Paid",,,"Buy 3D models for your project from our vast online catalog of cars, people, textures, architectural models and more."
Blend Swap,https://www.blendswap.com/,3D,Paid,,,Create and Share Blender Assets
Hum3D,https://hum3d.com/,3D,Paid,,,"3D models from Hum3D team. Browse the biggest online collection of 3D cars, gadgets and other 3d objects. We support more than 23 software."
Free3D,https://free3d.com/,3D,"Free, Paid",,,"Free 3D Models, TF3DM is the go to place where you can share your free 3d assets and download instantly any you like. TF3DM hosts 15.000+ 3d models, in various formats for BLENDER, OBJ, 3DS, C4D, MAX, MAYA, which you can download absolutely for free."
PixelSquid,https://www.pixelsquid.com/,Images,"Free, Paid",,,PixelSquid makes 3D content easy for graphic designers to download at any angle as transparent PNG or PSD. Free Photoshop plugin also available.
Archive3D,https://archive3d.net/,3D,Free,,,Download Free 3D Objects
Vast View Studios,https://ue4asset.com/,"3D, Texture",Paid,,,UE4 asset marketplace includes various types of unreal engine assets which are optimized and ready to be used in your architectual/personal projects
SpeedTree Store,https://store.speedtree.com/speedtree-store/filters/product_cat/games-library/,3D,Paid,,,A large collection of high quality tree and foliage assets.
3D Model Free,http://www.3dmodelfree.com/,3D,Free,,,Free Collection of 3D Models
HighEnd3D,https://www.highend3d.com/downloads,3D,Free,,,"Free downloads for professional computer graphic artists, 3D tools"
UE4 Forum: Foliage Starter Kit,https://forums.unrealengine.com/community/community-content-tools-and-tutorials/30694-free-foliage-starter-kit?59812-Free-Foliage-Starter-Kit=,3D,Free,,,A vegetation package with many meshes and advanced materials.
Arbitrary Studio Grindstone Assets,https://gumroad.com/l/uPXbQ,3D,Free,,,This is a pack of miscellaneous 3D models and textures from a planned game called Grindstone.
3D Model Haven,https://3dmodelhaven.com/,3D,Free,,,100% Free High Quality 3D Models for Everyone
